Project,,,,Purpose,Audience,,,Context,,,,,MtH Engagement,,,,Engagement with Temporalites,,,,,,,,,,,,,
Name (abbreviated),Year,Citation,Link,Purpose,"Knowledge
of MtH theory","Overall audience
size","Shared
experience",MtH Remoteness?,In/outdoors,Nature of the study,Study environment,Methodology,Type,"Time Engaging with MtH
Artefact","Time Engaging with MtH
Human(s)",Benefit,When?,Cycle(s),"Temporality
Taxonomy",Intervention,"Primary Human
Sensory Engagement","Mode of
Engagement",Reported Challenges (if any),,,,,,,
Tracing matters of scale…,2025,Petra Lilja,https://doi.org/10.21606/nordes.2021.43,"Walking and thinking-with stones, minerals and fossils to challenge linear, human-centric timescales. Performative walk.",Mixed,Large Group (10+),Shared Experience,In Situ,Outdoors,Field,"Wilderness, Urban/Cityscape",Walking,Mineral,Hour(s) (< 1 day),Hour(s) (< 1 day),One way (-> human),"Now, Then (historical)",None/Now,Layering,Other/Larger,"Visual, Touch, Sound","Noticing, deep listening","• Minerals often perceived as cold, dead or inert made temporal engagement more difficult.
• The success of the walk as a method depends on the design, the facilitation, and the imagination of the walker.",,,,,,,
"Everywhere, all at once",2025,"Alessandro Ianniello, Roy Bendor ",https://doi.org/10.21606/nordes.2025.11 ,"Designing Augmented
 Reality experiences to allow the interrogation of
 multiple temporalities that foster engagement with 
MtH worlds",Expert,Medium (6-10),Individual Experience,In Situ,Outdoors,Field,"Parks, Urban Context","RtD, Interviews",Ecosystem,Minute(s) (<1 hour),Minute(s) (<1 hour),One way (-> human),Now,None/Now,Layering,Screen,"Visual, Sound","Felt experience, AR layering",N/A,,,,,,,
Leaky Cups,2025,"Cayla Key, Cally Gatehouse, Stevie Koepp, and Nick Taylor. 2025. Leaky Cups: Tinkering with Hydrofeminist Temporalities for HCI. In Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems (CHI '25). Association for Computing Machinery, New York, NY, USA, Article 408, 1–17. https://doi.org/10.1145/3706598.371410",https://doi.org/10.1145/3706598.3714108,Connect human with  local temporalities of water (flow rate from surface monitoring station) between now and 30-years ago (historical value). Critiques assumptions about progress.,Mixed,Medium (6-10),"Individual Experience, Shared Experience",Remote,Indoor,Field,Home,"Interviews, Diary study, Autobiographical design",Landscape,Unknown,Month(s),One way (-> human),"Now, Then (historical)",None/Now,Layering,Artifact,"Visual, Sound, Touch","Living with, keeping track of past and present temporalities. Keeping diary and reporting.",• Challenges in how methods are presented as singular and objective when designing with different temporal ontologies.,,,,,,,
Mold Sounds,2025,"Riggs, Alexandra Teixeira; Nitsche, Michael; Howell, Noura",https://doi.org/10.1145/3689050.3704417,Design of an artefact to listen to growth of mould over time,Expert,Individual (1),Individual Experience,Remote,Indoor,Lab,Home,"Autoethnography, RtD",Microorganisms,Month(s),Month(s),One way (-> human),Now,None/Now,Layering,Artifact,"Visual, Sound","Noticing, living with","• Concerns about the impact of living with moulds over time on the first author’s health and allergies, who reported feelings of fear and anxiety.",,,,,,,
Being The Creek,2025,"Yangyang Yang, Kimiko Ryokai",https://doi.org/10.1145/3706598.3713713 ,Experiencing historical events through Creeks' perspective,Lay,Large Group (10+),Individual Experience,In Situ,Outdoors,Field,"Urban Context, Wilderness","Walking, Think Aloud",Landscape,Hour(s) (< 1 day),Hour(s) (< 1 day),One way (-> human),"Then (historical), ""Future (fabulation, speculation)"", Now",None/Now,Layering,Screen,"Sound, Visual","Active listening, Embodiment, Speculation, Noticing","• Engaging with nonhumans' temporalities generated uncomfortable feelings for participants towards humans and a sense of loss and hopelessness.
• Limits of conducting this type of temporal engagement over a single season.",,,,,,,
Bio-Digital Calendar,2024,"Fiona Bell, Joshua Coffie, and Mirela Alistar. 2024. Bio-Digital Calendar: Attuning to Nonhuman Temporalities for Multispecies Understanding. In Proceedings of the Eighteenth International Conference on Tangible, Embedded, and Embodied Interaction (TEI '24). Association for Computing Machinery, New York, NY, USA, Article 38, 1–15. https://doi.org/10.1145/3623509.363338",https://doi.org/10.1145/3623509.3633386 ,Build intimate interactions between a user and kombucha through sonification and active listening.,Expert,Small Group (2-5),Individual Experience,Remote,Indoor,Lab,Research Lab,RtD,Microorganisms,Unknown,Month(s),One way (-> human),Now,"""Life (birth, death, reproduction)""",Layering,Artifact,"Sound, Visual","Active listening, noticing change","• Human-SCOBY interdependencies meant the SCOBY's growth rate and life depended on and was influenced by human actions, such as refreshing the culture or adjusting the room temperature.",,,,,,,
Designing with more-than-human temporalities,2024,"Riel Bessai, Roy Bendor, Ruud Balkenende",https://doi.org/10.21606/drs.2024.438,"Engage with ecosystems, and a range of inhabitants (from human festival goers to plants and natural species)",Lay,Public (50+),Shared Experience,In Situ,Outdoors,Field,Wilderness,Not applicable,Ecosystem,Year(s),Week(s)  (< 1 month),Two way,"Now, ""Future (fabulation, speculation)""",None/Now,Linear,Infrastructure,Visual,"Indirect reflection from festival goers (what if a bird is nesting the next year, etc?)","• The design process was impacted by human time pressure and external concerns, such as financial, logistical, technical, and practical challenges.
• The construction had to be negotiated with external factors such as weather and natural rhythms.",,,,,,,
Caring through,2024,"Gizem Oktay, Minha Lee, Bahareh Barati, Ron Wakkary",https://doi.org/10.1145/3686169.3686211,Provides a typology informed by different kinds of care based on MtH temporalities,Expert,Individual (1),Individual Experience,In Situ,Outdoors,Field,Wilderness,Mycoremediation,Fungi,Week(s)  (< 1 month),Week(s)  (< 1 month),One way (-> MtH),Now,"""Life (birth, death, reproduction)""",Linear,None,Visual,Care,"• The first author reported feelings of disapointment during their daily visit due to the mycelium operating at a different timescale.
• Human language limited the notion of care.",,,,,,,
Designing for Interdependence…,2024,"Yuta Ikeya, Miguel Bruns, Bahareh Barati",https://doi.org/10.1145/3643834.3660743 ,"Garden observations and the making of a beehouse mobilizing care for
t he local ecosystem",Expert,Individual (1),Individual Experience,In Situ,Outdoors,Field,Gardens,"RtD, Autoethnography",Animals (Invertebrates),Month(s),Month(s),Two way,Now,"None/Now, ""Life (birth, death, reproduction)""",Layering,Artifact,Visual,"Attuning to bees, living with ('FA learned to work in the bees’ presence.'), care","• Pace of building the design habitat was impacted by the weather and seasonal rhythms, and the assembly procedure had to be updated to make sure it was finished on time, and the bees had a place to live
• The first author had to align their work with bees’ temporality, sometimes finishing building their habitat after sunset once they were asleep.
• Negotiating garden space once the bee house was built proved difficult, as bees are very sensitive to change",,,,,,,
Sensing Bodies,2024,"Sylvia Janicki, Alexandra Teixeira Riggs, Anne Sullivan, Noura Howell, Nassim Parvin",https://doi.org/10.1145/3623509.3633389,Highlight reciprocal people-plant relationships and foster a deeper sensibility  toward colonial histories of local landscapes.,Lay,Large Group (10+),Individual Experience,Remote,Indoor,Gallery,Museum,"Audio and video recording of conversation, Cards",Plants / Flora,Day(s) (< 1 week),Day(s) (< 1 week),One way (-> human),"Now, Then (historical)",None/Now,Linear,Installation,Visual,"Sensory, noticing","• Plants needs, seasonality, and environmental sensitivity created uncertainty and unpredictatbility regarding their growth and survival.",,,,,,,
